Season, Champion, Runner-up
2006-07,San Antonio Spurs,Cleveland Cavaliers
2007-08,Boston Celtics,Los Angeles Lakers
2008-09,Los Angeles Lakers,Orlando Magic
2009-10,Los Angeles Lakers,Boston Celtics
2010-11,Dallas Mavericks,Miami Heat
2011-12,Miami Heat,Oklahoma City Thunder
2012-13,Miami Heat,San Antonio Spurs
2013-14,San Antonio Spurs,Miami Heat
2014-15,Golden State Warriors,Cleveland Cavaliers
2015-16,Cleveland Cavaliers,Golden State Warriors
2016-17,Golden State Warriors,Cleveland Cavaliers
2017-18,Golden State Warriors,Cleveland Cavaliers
2018-19,Toronto Raptors,Golden State Warriors
2019-20,Los Angeles Lakers,Miami Heat
2020-21,Milwaukee Bucks,Phoenix Suns
2021-22,Golden State Warriors,Boston Celtics
2022-23,Denver Nuggets,Miami Heat
2023-24,Boston Celtics, Dallas Mavericks
2024-25, Oklahoma City Thunder, Indiana Pacers
