SEASON,TOP_PD_TEAM,TOP_PD_MADE_FINALS,TOP_PD_WON_FINALS,TOP_WINS_TEAM,TOP_WINS_MADE_FINALS,TOP_WINS_WON_FINALS
2006-07,San Antonio Spurs,1,1,Dallas Mavericks,0,0
2007-08,Boston Celtics,1,1,Boston Celtics,1,1
2008-09,Cleveland Cavaliers,0,0,Cleveland Cavaliers,0,0
2009-10,Orlando Magic,0,0,Cleveland Cavaliers,0,0
2010-11,Miami Heat,1,0,Chicago Bulls,0,0
2011-12,Chicago Bulls,0,0,Chicago Bulls,0,0
2012-13,Oklahoma City Thunder,0,0,Miami Heat,1,1
2013-14,San Antonio Spurs,1,1,San Antonio Spurs,1,1
2014-15,Golden State Warriors,1,1,Golden State Warriors,1,1
2015-16,Golden State Warriors,1,0,Golden State Warriors,1,0
2016-17,Golden State Warriors,1,1,Golden State Warriors,1,1
2017-18,Houston Rockets,0,0,Houston Rockets,0,0
2018-19,Milwaukee Bucks,0,0,Milwaukee Bucks,0,0
2019-20,Milwaukee Bucks,0,0,Milwaukee Bucks,0,0
2020-21,Utah Jazz,0,0,Utah Jazz,0,0
2021-22,Phoenix Suns,0,0,Phoenix Suns,0,0
2022-23,Boston Celtics,0,0,Milwaukee Bucks,0,0
2023-24,Boston Celtics,1,1,Boston Celtics,1,1
2024-25,Oklahoma City Thunder,1,1,Oklahoma City Thunder,1,1
