TEAM_ID,TEAM_NAME,SEASON,W,L,W_PCT,PLUS_MINUS
1610612737,Atlanta Hawks,2024-25,40,42,0.488,-93.0
1610612738,Boston Celtics,2024-25,61,21,0.744,747.0
1610612751,Brooklyn Nets,2024-25,26,56,0.317,-583.0
1610612766,Charlotte Hornets,2024-25,19,63,0.232,-747.0
1610612741,Chicago Bulls,2024-25,39,43,0.476,-128.0
1610612739,Cleveland Cavaliers,2024-25,64,18,0.78,782.0
1610612742,Dallas Mavericks,2024-25,39,43,0.476,-98.0
1610612743,Denver Nuggets,2024-25,50,32,0.61,319.0
1610612765,Detroit Pistons,2024-25,44,38,0.537,156.0
1610612744,Golden State Warriors,2024-25,48,34,0.585,271.0
1610612745,Houston Rockets,2024-25,52,30,0.634,370.0
1610612754,Indiana Pacers,2024-25,50,32,0.61,183.0
1610612746,LA Clippers,2024-25,50,32,0.61,382.0
1610612747,Los Angeles Lakers,2024-25,50,32,0.61,100.0
1610612763,Memphis Grizzlies,2024-25,48,34,0.585,398.0
1610612748,Miami Heat,2024-25,37,45,0.451,46.0
1610612749,Milwaukee Bucks,2024-25,48,34,0.585,203.0
1610612750,Minnesota Timberwolves,2024-25,49,33,0.598,410.0
1610612740,New Orleans Pelicans,2024-25,21,61,0.256,-773.0
1610612752,New York Knicks,2024-25,51,31,0.622,336.0
1610612760,Oklahoma City Thunder,2024-25,68,14,0.829,1055.0
1610612753,Orlando Magic,2024-25,41,41,0.5,-10.0
1610612755,Philadelphia 76ers,2024-25,24,58,0.293,-511.0
1610612756,Phoenix Suns,2024-25,36,46,0.439,-246.0
1610612757,Portland Trail Blazers,2024-25,36,46,0.439,-244.0
1610612758,Sacramento Kings,2024-25,40,42,0.488,39.0
1610612759,San Antonio Spurs,2024-25,34,48,0.415,-226.0
1610612761,Toronto Raptors,2024-25,30,52,0.366,-352.0
1610612762,Utah Jazz,2024-25,17,65,0.207,-766.0
1610612764,Washington Wizards,2024-25,18,64,0.22,-1020.0
1610612737,Atlanta Hawks,2023-24,36,46,0.439,-179.0
1610612738,Boston Celtics,2023-24,64,18,0.78,930.0
1610612751,Brooklyn Nets,2023-24,32,50,0.39,-237.0
1610612766,Charlotte Hornets,2023-24,21,61,0.256,-840.0
1610612741,Chicago Bulls,2023-24,39,43,0.476,-118.0
1610612739,Cleveland Cavaliers,2023-24,48,34,0.585,198.0
1610612742,Dallas Mavericks,2023-24,50,32,0.61,181.0
1610612743,Denver Nuggets,2023-24,57,25,0.695,431.0
1610612765,Detroit Pistons,2023-24,14,68,0.171,-747.0
1610612744,Golden State Warriors,2023-24,46,36,0.561,214.0
1610612745,Houston Rockets,2023-24,41,41,0.5,92.0
1610612754,Indiana Pacers,2023-24,47,35,0.573,250.0
1610612746,LA Clippers,2023-24,51,31,0.622,269.0
1610612747,Los Angeles Lakers,2023-24,47,35,0.573,49.0
1610612763,Memphis Grizzlies,2023-24,27,55,0.329,-574.0
1610612748,Miami Heat,2023-24,46,36,0.561,144.0
1610612749,Milwaukee Bucks,2023-24,49,33,0.598,215.0
1610612750,Minnesota Timberwolves,2023-24,56,26,0.683,529.0
1610612740,New Orleans Pelicans,2023-24,49,33,0.598,362.0
1610612752,New York Knicks,2023-24,50,32,0.61,376.0
1610612760,Oklahoma City Thunder,2023-24,57,25,0.695,608.0
1610612753,Orlando Magic,2023-24,47,35,0.573,166.0
1610612755,Philadelphia 76ers,2023-24,47,35,0.573,250.0
1610612756,Phoenix Suns,2023-24,49,33,0.598,251.0
1610612757,Portland Trail Blazers,2023-24,21,61,0.256,-740.0
1610612758,Sacramento Kings,2023-24,46,36,0.561,143.0
1610612759,San Antonio Spurs,2023-24,22,60,0.268,-532.0
1610612761,Toronto Raptors,2023-24,25,57,0.305,-528.0
1610612762,Utah Jazz,2023-24,31,51,0.378,-401.0
1610612764,Washington Wizards,2023-24,15,67,0.183,-762.0
1610612737,Atlanta Hawks,2022-23,41,41,0.5,24.0
1610612738,Boston Celtics,2022-23,57,25,0.695,535.0
1610612751,Brooklyn Nets,2022-23,45,37,0.549,70.0
1610612766,Charlotte Hornets,2022-23,27,55,0.329,-512.0
1610612741,Chicago Bulls,2022-23,40,42,0.488,106.0
1610612739,Cleveland Cavaliers,2022-23,51,31,0.622,441.0
1610612742,Dallas Mavericks,2022-23,38,44,0.463,6.0
1610612743,Denver Nuggets,2022-23,53,29,0.646,273.0
1610612765,Detroit Pistons,2022-23,17,65,0.207,-674.0
1610612744,Golden State Warriors,2022-23,44,38,0.537,148.0
1610612745,Houston Rockets,2022-23,22,60,0.268,-644.0
1610612754,Indiana Pacers,2022-23,35,47,0.427,-261.0
1610612746,LA Clippers,2022-23,44,38,0.537,41.0
1610612747,Los Angeles Lakers,2022-23,43,39,0.524,47.0
1610612763,Memphis Grizzlies,2022-23,51,31,0.622,323.0
1610612748,Miami Heat,2022-23,44,38,0.537,-26.0
1610612749,Milwaukee Bucks,2022-23,58,24,0.707,298.0
1610612750,Minnesota Timberwolves,2022-23,42,40,0.512,-3.0
1610612740,New Orleans Pelicans,2022-23,42,40,0.512,155.0
1610612752,New York Knicks,2022-23,47,35,0.573,240.0
1610612760,Oklahoma City Thunder,2022-23,40,42,0.488,89.0
1610612753,Orlando Magic,2022-23,34,48,0.415,-210.0
1610612755,Philadelphia 76ers,2022-23,54,28,0.659,354.0
1610612756,Phoenix Suns,2022-23,45,37,0.549,170.0
1610612757,Portland Trail Blazers,2022-23,33,49,0.402,-329.0
1610612758,Sacramento Kings,2022-23,48,34,0.585,217.0
1610612759,San Antonio Spurs,2022-23,22,60,0.268,-823.0
1610612761,Toronto Raptors,2022-23,41,41,0.5,121.0
1610612762,Utah Jazz,2022-23,37,45,0.451,-77.0
1610612764,Washington Wizards,2022-23,35,47,0.427,-99.0
1610612737,Atlanta Hawks,2021-22,43,39,0.524,128.0
1610612738,Boston Celtics,2021-22,51,31,0.622,597.0
1610612751,Brooklyn Nets,2021-22,44,38,0.537,64.0
